EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE658551-133267	Sandsjön	Göta älv - SE108000	Värmland - 17	Säffle - 1785	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S6SSYN	S	6	S	S	Y	N
SE658153-131979	Finnsjön	Göta älv - SE108000	Värmland - 17	Säffle - 1785	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE657856-131680	Öjesjön	Göta älv - SE108000	Värmland - 17	Säffle - 1785	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE657368-134114	Vänern - Ekholmssjön	Göta älv - SE108000	Värmland - 17	Grums - 1764, Säffle - 1785	SE5	SE5	Vänern och dess närområden	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE658701-133732	Värmeln	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Grums - 1764, Kil - 1715, Säffle - 1785	SE5	SE5	Borgviksälven	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE657873-130962	Stora Bör	Göta älv - SE108000	Värmland - 17	Säffle - 1785, Årjäng - 1765	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE662130-142921	Sör-Älgen	Göta älv - SE108000	Örebro - 18	Hällefors - 1863	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DLYN	S	2	D	L	Y	N
SE661415-142960	Torrvarpen	Göta älv - SE108000	Örebro - 18	Hällefors - 1863	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DLYN	S	3	D	L	Y	N
SE661923-143300	Halvtron	Göta älv - SE108000	Örebro - 18	Hällefors - 1863	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE659843-142308	Immen	Göta älv - SE108000	Örebro - 18	Karlskoga - 1883	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE658485-142445	Lonnen	Göta älv - SE108000	Örebro - 18	Karlskoga - 1883	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE658298-143461	Älgsimmen	Göta älv - SE108000	Örebro - 18	Karlskoga - 1883	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE658500-143982	Rösimmen	Göta älv - SE108000	Örebro - 18	Karlskoga - 1883, Nora - 1884, Örebro - 1880	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE658940-143617	Malmlången	Göta älv - SE108000	Örebro - 18	Hällefors - 1863, Karlskoga - 1883, Nora - 1884	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE668622-139207	Tyngsjön	Göta älv - SE108000	Dalarna - 20	Malung-Sälen - 2023	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE668028-139334	Bredsjön	Göta älv - SE108000	Dalarna - 20	Malung-Sälen - 2023	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE691273-132290	Bredåsjön	Göta älv - SE108000	Jämtland - 23	Härjedalen - 2361	SE2	SE5	Klarälven	LW	Vattenförekomst	NV(R)	S2DLNN	S	2	D	L	N	N
SE712080-165701	Stor-Sandsjön	Öreälven - SE30000	Västerbotten - 24	Bjurholm - 2403, Lycksele - 2481	SE1	SE1	Södra Västerbotten med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE716057-167206	Abborrträsket	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE715947-167623	Åmträsket	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE715730-168942	Långhjuksnoret	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE715685-167685	Joppträsket	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE715605-165722	Inre Kroksjön	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE712711-166561	Stor-Korbesjön	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE712186-167990	Bjurfors Ö Dämmområde	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	KMV(F)	S3DSYN	S	3	D	S	Y	N
SE712045-167472	Stor-Ramsjön	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
