WB,n
SE644070-211650,1
SE644096-154024,3
SE644137-127197,4
SE644150-211000,18
SE644247-153430,3
SE644331-127205,4
SE644338-152744,3
SE644510-140324,4
SE644572-148848,4
SE644620-127400,4
SE644633-140485,2
SE644635-149350,3
SE644658-126701,4
SE644674-128162,4
SE644730-210650,28
SE644772-152241,4
SE644869-145497,4
SE644932-127552,4
SE644987-152393,25
SE645000-212100,24
SE645000-213500,37
SE645036-145711,4
SE645127-140409,4
SE645144-146336,4
SE645212-154369,2
SE645405-128007,4
SE645444-143132,2
SE645500-212000,10
SE645596-145753,4
SE645657-138673,2
SE645711-127116,4
SE645717-128093,4
SE645908-145617,4
SE646150-152257,4
SE646166-127275,4
SE646360-213700,4
SE646429-154770,4
SE646523-126170,2
SE646611-140950,4
SE646643-127030,4
SE646662-154457,4
SE647287-135598,2
SE647661-148044,4
SE647733-140992,2
SE647775-126829,4
SE647986-134325,2
SE648022-126133,4
SE648344-126255,4
SE648385-152899,4
SE648405-137783,4
SE648665-128770,3
SE648752-124840,4
SE648779-150974,6
SE648879-125970,4
SE649121-125995,4
SE649177-137968,3
SE649255-127344,3
SE649258-125911,4
SE649686-151617,6
SE649880-146829,1
SE650280-213110,4
SE650282-142767,4
SE650312-142653,4
SE650362-152166,4
SE650398-139136,28
SE650455-152241,4
SE650460-213400,4
SE650465-154662,4
SE650496-155520,4
SE650536-154919,4
SE650581-152471,3
SE650617-138546,2
SE650704-152661,4
SE650750-213500,4
SE650759-153143,4
SE650785-126209,2
SE650826-126741,2
SE650945-152015,4
SE651029-124710,4
SE651083-154599,3
SE651098-154263,2
SE651102-153566,3
SE651158-146999,2
SE651211-129611,4
SE651218-586472,4
SE651231-142631,2
SE651423-158019,3
SE651475-214300,18
SE651500-213108,30
SE651554-126622,2
SE651558-151026,1
SE651577-153919,2
SE651800-214740,16
SE651818-212790,28
SE651895-125797,4
SE651940-213930,18
SE651945-159069,3
SE651983-129240,4
SE652000-213210,14
SE652009-149425,5
SE652020-211930,26
SE652098-142854,4
SE652150-213000,12
SE652177-159038,28
SE652182-125716,4
SE652236-124132,4
SE652250-213430,14
SE652385-214180,16
SE652399-129080,4
SE652400-220070,1
SE652400-223501,13
SE652439-153389,1
SE652465-214080,16
SE652475-215750,2
SE652556-126311,3
SE652567-315044,4
SE652616-128614,4
SE652707-159032,31
SE652739-128006,4
SE652750-145367,8
SE652761-125524,4
SE652840-151589,12
