EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE729397-144996	Skälvattsbäcken	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE729446-148851	Biellojukke	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE729060-152892	Tjåterbäcken	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE725632-151113	Fjällbäcken	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE725529-153207	Gardsjöbäcken	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE723995-153404	Långvattsbäcken	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE720185-158825	Mejvanbäcken	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE708931-168613	Pengån	Umeälven - SE28000	Västerbotten - 24	Vännäs - 2460	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE711777-167113	Ramsan	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE716341-163700	Tannbäcken	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE716661-163137	Tannbäcken	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE717273-163589	Lycksabäcken	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE727547-144391	Rikkerjukke	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE737911-153137	Daunasjåkkå	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE722432-170176	Vällingån	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE719949-169484	Karsbäcken	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LNN	V	3	L	N	N
SE739677-151433	Tjaktjaurälven	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE739903-154640	Riebnesströmmen	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE732867-160273	Radnejaurälven	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE732537-160598	Radnejaurälven	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE730825-160367	Båtsabäcken	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE725548-165463	Gallakbäcken	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE725395-165697	Skattån	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE721260-167223	Norsjöån	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE720902-166648	Norsjöån	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE733559-160065	Båtsaströmmen	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE739295-154203	Tjidtjakjåkkå	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE728811-163898	Långträskälven	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE729940-163787	Beivurbäcken	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE731476-163398	Byskeälven	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE727020-168129	Kilisån	Byskeälven - SE18000	Norrbotten - 25	Piteå - 2581	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE728840-164131	Långträskälven	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE727293-164329	Svärdälven	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE727101-167697	Kilisån	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505, Piteå - 2581	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE724964-172621	Hörmyrbäcken	Åbyälven - SE17000	Norrbotten - 25	Piteå - 2581	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE723197-171223	Kågeälven	Kågeälven - SE19000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE723850-170136	Kågeälven	Kågeälven - SE19000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE722501-171367	Kusån	Kågeälven - SE19000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE742112-176686	Skrövån	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523, Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE741802-155266	Piteälven	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE752935-166832	Kalixälven	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523, Kiruna - 2584	SE1	SE1	Kalix- och Töreälvens med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE741757-154968	Piteälven	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE742241-152806	SE742241-152806	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE742068-154000	SE742068-154000	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE737700-161845	Arvesjåkkå	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE752973-157711	Vietasätno	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	KMV(F)	V1LNN	V	1	L	N	N
SE738886-164853	Pärlälven	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE742168-160677	Lilla Luleälven	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE750223-156231	Luleälven	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE749427-154808	Luleälven	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE752056-158004	Vietasätno	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	KMV(F)	V2LNN	V	2	L	N	N
SE749131-161048	Vietasätno	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	KMV(F)	V2LNN	V	2	L	N	N
SE751895-158238	Vietasätno	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	RW	Vattenförekomst	KMV(F)	V2LNN	V	2	L	N	N
